,,,,,,,,,,,,,,,,,,,Pass Area,,,,,,,,,,,,,,,,
Series #,Play #,Qtr,Time,Score,Down,Distance,POS,Play Description,Personnel,Formation,Motion,Runner,Lead Block,Target,Catch,Gain,Penalty,Play Action,Area,Depth,Run Area,Def Package,Def Front,Pass Rushers,,Personnel,Plays,Run,Pass,RuYds,Pass Comp,PaYds,Yds Per Carry,Yds Per Pass,
3,30,2,7:33,Up 3,2,8,-29,Pass,00,"""+2x3+"", shotgun",,,,Adams (L1),Catch,5,,,LS,S,,,Over,5,,,,,,,,,,,
3,31,2,6:52,Up 3,3,3,-34,Pass,10,"""+2x2+"", shotgun offset L",WR in,,,Janis (L2),Inc.,0,,,LM,S,,,Over,4,,,,,,,,,,,
4,32,2,1:56,Tied,1,10,-25,Pass,01,"""+2x2+"", shotgun offset L",,,,Adams (R1),Catch,5,,,RS,S,,,Other Odd,3,,,,,,,,,,,
4,33,2,1:37,Tied,2,5,-30,Pass,01,"""+2x2+"", shotgun offset R",,,,"Montgomery (R RB, 3)",Inc.,0,,,LS,S,,,Other Odd,3,,,,,,,,,,,
4,34,2,1:30,Tied,3,5,-30,Pass,01,"""+2x2-"", shotgun offset L",WR in,,,R. Rodgers (R2),Inc.,,"DPI, Bausby, +18",,RS,D,,,Under,4,,,,,,,,,,,
4,35,2,1:22,Tied,1,10,-48,Pass,01,"""+3x1+"", shotgun offset R",,,,,"Sack, Floyd",-9,,,,,,,2 Eagle Even,4,,,,,,,,,,,
4,36,2,1:13,Tied,2,19,-39,Pass,01,"""+2x2+"", shotgun offset L",,,,Adams (L1),Catch,19,,,RS,ID,,,Other Odd,4,,,,,,,,,,,
4,37,2,0:46,Tied,1,10,+42,Pass,01,"""+2x2-"", shotgun offset L",WR in,,,Cobb (L2),Catch,7,,,LS,S,,,2 Eagle Even,4,,,,,,,,,,,
4,38,2,0:40,Tied,2,3,+35,Pass,01,"""+1x3+"", shotgun offset L",,,,Cobb (R3),Catch,13,,,WR Screen R,S,,,Over,4,,,,,,,,,,,
4,39,2,0:35,Tied,1,10,+22,Pass,01,"""+3x1*"", shotgun offset R",,,,Adams (L1),Inc.,0,,,LS,IS,,,Over,4,,,,,,,,,,,
4,40,2,0:32,Tied,2,10,+22,Pass,01,"""+2x2*"", shotgun offset L",TE in,,,Adams (L1),Inc.,0,,,LS,D,,,Other Odd,3,,,,,,,,,,,
4,41,2,0:27,Tied,3,10,+22,Pass,01,"""+2x2+"", shotgun offset R",,,,Cobb (L2),Inc.,0,,,LM,D,,,Other Odd,3,,,,,,,,,,,
5,42,3,14:55,Up 3,1,10,-15,Pass,01,"""+1x3-"", bunch R-, shotgun offset L",,,,Adams (L1),Inc.,0,,,LS,D,,,Under,4,,,,,,,,,,,
5,43,3,14:50,Up 3,2,10,-15,Pass,01,"""+1x3+"", shotgun offset R",,,,Nelson (R1),Inc.,0,,,RM,S,,,Over,4,,,,,,,,,,,
5,44,3,14:43,Up 3,3,10,-15,Pass,01,"""+3x1+"", shotgun offset R",,,,,"Sack, Floyd, Fumble, Floyd, TD",-10,,,,,,,Other Odd,4,,,,,,,,,,,
6,45,3,14:25,Down 4,1,10,-15,Run,01,"""+3x1+"", shotgun offset R",,Montgomery,,,,30,,,,,M,,Under,,,,,,,,,,,,
6,46,3,13:53,Down 4,1,10,-45,Pass,01,"""-2x2+"", shotgun offset L",,,,"Montgomery (L RB, 3)",Catch,5,,,Swing L,S,,,Under,4,,,,,,,,,,,
6,47,3,13:27,Down 4,2,5,50,Run,01,"""+1x2-"", couple R-, I-form offset L",,Montgomery,HB,,,3,,,,,IR,,Under,,,,,,,,,,,,
6,48,3,12:47,Down 4,3,2,+47,Pass,01,"""+2x2*', shotgun offset R",WR in,,,"Montgomery (R RB, 3)",Catch,6,,,RM,S,,,2 Eagle Even,4,,,,,,,,,,,
6,49,3,12:12,Down 4,1,10,+41,Pass,11,"""+2x2+"", shotgun offset R",,,,Adams (R1),Catch,5,,,RS,S,,,Over,4,,,,,,,,,,,
6,50,3,11:43,Down 4,2,5,+36,Pass,11,"""+3x1+"", shotgun offset R",,,,Cobb (L2),Inc.,0,,,M,S,,,Over,4,,,,,,,,,,,
6,51,3,11:40,Down 4,3,5,+36,Pass,10,"""+2x2+"", shotgun offset R",,,,Cobb (L2),Catch,18,,,RM,S,,,Other Odd,4,,,,,,,,,,,
6,52,3,11:11,Down 4,1,10,+18,Run,11,"""+2x2+"", shotgun offset R",,Ripkowski,,,,4,,,,,M,,Over,,,,,,,,,,,,
6,53,3,10:29,Down 4,2,6,+14,Pass,01,"""+2x3+"", shotgun",RB out,,,Cobb (R2),Catch,2,,,RS,S,,,Over,4,,,,,,,,,,,
6,54,3,9:47,Down 4,3,4,+12,Pass,01,"""+3x2+"", shotgun",,,,Montgomery (R2),Catch,7,,,RS,S,,,Over,4,,,,,,,,,,,
6,55,3,9:28,Down 4,1,5,+5,Pass,01,"""+2x2+"", shotgun offset R",,,,Throwaway,Inc.,0,,,,,,,Under,4,,,,,,,,,,,
6,56,3,9:21,Down 4,2,5,+5,Pass,01,"""+3x1+"", shotgun offset R",WR in,,,Nelson (L2),Inc.,0,,,LS,S,,,Over,4,,,,,,,,,,,
6,57,3,9:15,Down 4,3,5,+5,Pass,01,"""+3x2+"", shotgun",,,,Adams (R1),"Catch, TD",5,,,RS,S,,,Over,4,,,,,,,,,,,
7,58,3,4:35,Up 3,1,10,-12,Run,01,"""+3x1+"", shotgun offset L",,Montgomery,,,,3,,,,,IR,,Under,,,,,,,,,,,,
7,59,3,4:03,Up 3,2,7,-15,Pass,01,"""+2x2+"", shotgun offset R",TE in,,,Adams (R1),Catch,7,,,RS,S,,,Under,4,,,,,,,,,,,
7,60,3,3:25,Up 3,1,10,-22,Pass,01,"""+3x1+"", shotgun offset L",,,,Adams (R1),Catch,15,,,RS,S,,,Under,4,,,,,,,,,,,
7,61,3,2:52,Up 3,1,10,-37,Run,01,"""+2x2+"", shotgun offset R",,Montgomery,,,,11,,,,,M,,Over,,,,,,,,,,,,
7,62,3,2:12,Up 3,1,10,-48,Pass,01,"""+2x2+"", shotgun offset R",,,,Adams (R1),Catch,24,,Hard,RS,IS,,,Over,4,,,,,,,,,,,
7,63,3,1:25,Up 3,1,10,+28,Pass,01,"""+3x1+"", shotgun offset R",,,,R. Rodgers (L3),Catch,7,,,LM,S,,,Over,4,,,,,,,,,,,
7,64,3,0:40,Up 3,2,3,+21,Pass,01,"""+2x2+"", shotgun offset L",,,,"Montgomery (L RB, 3)",Catch,7,,,LM,S,,,Over,4,,,,,,,,,,,
7,65,4,15:00,Up 3,1,4,+4,Pass,01,"""+2x3+"", shotgun",TE in,,,Adams (L1),"Catch, TD",4,,,LM,S,,,Over,4,,,,,,,,,,,
