Series,Play,Quarter,Time,Score_Margin,Down,Distance,POS,Play_Type,Personnel,Formation,Motion,Runner,Lead_Block,Target,Catch,Gain,Penalty,Play_Action,Pass_Area,Pass_Depth,Run_Area,Def_Package,Def_Front,Pass_Rushers,Goal_Line,LOS_to_Goal,Net_Gain,Minute,Second,Num_RB,Num_TE,Num_WR,6_OL,Left_Split,Right_Split,Shotgun,Shotgun_Offset,I-Form,I-Form_Offset,Motion_Bool,Motion_Pos,Motion_Dir,Target_Pos,Target_Align,Pass_Dir,TD,Explosive_Pass,Explosive_Pass_Yd,Explosive_Run,Explosive_Run_Yd,Explosive_Play,Successful_Pass,Successful_Run,Successful_Play,Sack_TFL,Sack_TFL_Yards,Penalty_Team,Penalty_Type,Penalty_Yards
6,36,2,2:24,6,2,8.0,-27,Run,6 OL,"""-2x2-"", shotgun offset R",TE in,Richard,RT,N/A,N/A,7.0,,,,,IL,,Under,,0,73,7.0,2,24,,,,1.0,Narrow,Narrow,1.0,,0.0,,1.0,TE,in,,,,0.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,,,0.0
6,37,2,2:00,6,3,1.0,-34,Run,6 OL,"""+1x2-"", closed R, dual TE LOS, I-form",TE in,Murray,HB,N/A,N/A,42.0,,,,,IL,,Under,,0,66,42.0,2,00,1.0,2.0,2.0,1.0,Wide,Narrow,0.0,,1.0,,1.0,TE,in,,,,0.0,0.0,,1.0,42.0,1.0,,1.0,1.0,0.0,,,,0.0
6,38,2,1:52,6,1,10.0,24,Pass,11,"""+2x2+"", shotgun offset R",,N/A,,Cooper (L1),Inc.,0.0,,,LS,IS,,,Over,4.0,0,24,0.0,1,52,1.0,1.0,3.0,0.0,Wide,Wide,1.0,,0.0,,0.0,,,WR,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
6,39,2,1:48,6,2,10.0,24,Run,11,"""+2x2+"", shotgun offset R",,Washington,,N/A,N/A,0.0,,,,,M,,Over,,0,24,0.0,1,48,1.0,1.0,3.0,0.0,Wide,Wide,1.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
6,40,2,1:42,6,3,10.0,24,Pass,6 OL,"""+3x1-"", closed R, shotgun offset L",,N/A,,Cooper (L3),Inc.,,"DPI, Roby, +23",,RM,D,,,Over,7.0,0,24,23.0,1,42,1.0,1.0,3.0,1.0,Wide,Narrow,1.0,,0.0,,0.0,,,WR,3,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,Defense,DPI,23.0
6,41,2,1:37,6,1,1.0,1,Pass,6 OL,"""-1x2-"", closed L R, dual TE LOS, I-form offset R",,N/A,,Murray (RB 0),Catch,,"Ineligible downfield, Penn, -5",Hard,LM,S,,,GL,4.0,1,1,-5.0,1,37,1.0,2.0,2.0,1.0,Narrow,Narrow,0.0,,1.0,,0.0,,,RB,0,Right,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,Defense,Ineligible downfield,5.0
6,42,2,1:32,6,1,6.0,6,Pass,11,"""+2x2-"", shotgun offset R",RB bk,N/A,,Roberts (L2),Inc.,,"DPI, Doss, +5",,LM,S,,,Over,4.0,1,6,5.0,1,32,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,,0.0,,1.0,RB,bk,WR,2,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,Defense,DPI,5.0
6,43,2,1:29,6,1,1.0,1,Run,6 OL,"""-2x1-"", closed L R, dual TE LOS, I-form",,"Murray, TD",HB,N/A,N/A,1.0,,,,,IL,,GL,,1,1,1.0,1,29,1.0,2.0,2.0,1.0,Narrow,Narrow,0.0,,1.0,,0.0,,,,,,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,,,0.0
7,44,3,15:00,10,1,10.0,-25,Run,11,"""+1x3+"", shotgun offset R",,Washington,,N/A,N/A,7.0,,,,,M,,Over,,0,75,7.0,15,00,1.0,1.0,3.0,0.0,Wide,Wide,1.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,,,0.0
7,45,3,14:25,10,2,3.0,-32,Run,6 OL,"""-2x2+"", singleback",HB out,Washington,"RG, TE",N/A,N/A,2.0,,,,,IL,,Over,,0,68,2.0,14,25,,,,1.0,Narrow,Wide,0.0,,0.0,,1.0,HB,out,,,,0.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,,,0.0
