,,,,,,,,,,,,,,,,,,,Pass Area,,,,,,,,,,,,,,,
Week,Opponent,Qtr,Time,Score,Down,Distance,POS,Play Description,Personnel,Formation,Motion,Runner,Lead Block,Target,Catch,Gain,Penalty,Play Action,Area,Depth,Run Area,Def Package,Def Front,Pass Rushers,,Personnel,Plays,Run,Pass,RuYds,Pass Comp,PaYds,Yds Per Carry,Yds Per Pass
10,at NE,1,7:23,Down 7,3,4,8,Pass,11,"""-1x3-"", closed L, shotgun offset L",WR in,,,Kearse (R1),Inc.,0,,,RM,S,,,Other Even,5,,,,,,,,,,
10,at NE,1,4:34,Down 4,1,10,50,Pass,12,"""+3x1+"", shotgun offset R",,,,"Michael (R RB, 2)",Catch,4,,,Swing R,S,,,2 Eagle Even,4,,,,,,,,,,
10,at NE,1,0:02,Down 1,1,10,-35,Pass,12,"""-1x3-"", closed L, singleback",TE in,,,"Graham (R LOS TE, 3)",Catch,11,,Hard,RS,IS,,,2 Eagle Even,4,,,,,,,,,,
10,at NE,2,14:28,Down 1,2,7,-49,Pass,11,"""-1x3+"", closed L, singleback",,,,Lockett (R3),Inc.,0,,Hard,RS,S,,,2 Eagle Even,5,,,,,,,,,,
10,at NE,3,5:03,Down 2,2,7,17,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"Prosise (R RB, 2)",Catch,10,,,Swing R,S,,,Under,5,,,,,,,,,,
10,at NE,4,9:03,Down 2,3,G-5,5,Pass,11,"""+3x1-"", closed R, shotgun offset R",WR in,,,Lockett (L3),Inc.,0,,,LS,S,,,Other Odd,5,,,,,,,,,,
10,at NE,4,4:24,Up 7,,,2,"Pass, 2PT",11,"""-3x1-"", closed R, bunch L-, shotgun offset R",,,,Baldwin (BP),"Inc., 2PT Fail",,,,LS,S,,,Over,3,,,,,,,,,,
11,PHI,1,15:00,Tied,1,10,-25,Pass,11,"""+1x3+"", shotgun offset L",,,,"Prosise (R RB, 2)",Catch,0,,,Swing L,S,,,Over,4,,,,,,,,,,
11,PHI,1,14:28,Tied,3,10,-25,Run,11,"""-1x3-"", shotgun offset L",,R. Wilson,,,,6,,,,,SCR,,Over,4,,,,,,,,,,
11,PHI,2,14:07,Down 1,1,10,-8,Pass,11,"""+3x1-"", closed R, shotgun offset L",,,,Kearse (L1),Catch,12,,"Hard, roll",LS,S,,,Over,4,,,,,,,,,,
11,PHI,2,12:03,Down 1,1,10,-33,Pass,12,"""+3x1-"", closed R, singleback",TE in,,,Baldwin (L2),Inc.,,"Def. holding, Jenkins, +5",Hard,LS,D,,,Under,4,,,,,,,,,,
11,PHI,2,3:58,Up 6,2,G-3,3,Pass,11,"""-1x3+"", closed L, singleback",,,,Kearse (R1),Inc.,0,,Hard,RS,S,,,Over,4,,,,,,,,,,
11,PHI,2,2:47,Up 9,1,10,-30,Run,11,"""+1x3+"", shotgun offset L",,Prosise,,,,,"Off. Holding, Glowinski, -10",,,,M,,Under,,,,,,,,,,,
11,PHI,3,14:01,Up 9,1,10,-22,Run,11,"""+3x1-"", closed R, singleback",,Rawls,,,,5,,,,,IL,,Over,,,,,,,,,,,
11,PHI,3,12:38,Up 9,1,10,-36,Run,12,"""+1x3+"", shotgun offset L",,R. Wilson,,,,3,,,,,SCR,,Over,4,,,,,,,,,,
11,PHI,3,12:06,Up 9,2,7,39,Run,11,"""-1x3+"", closed L, singleback",,Pope,,,,1,,,,,IL,,Over,,,,,,,,,,,
11,PHI,4,8:13,Up 19,2,8,29,Run,11,"""-1x3+"", closed L, bunch R*, shotgun offset L",,Rawls,,,,3,,,,,M,,Over,,,,,,,,,,,
11,PHI,4,7:30,Up 19,3,5,26,Pass,11,"""-3x1-"", bunch L-, shotgun offset R",WR in,,,Throwaway,Inc.,0,,,,,,,2 Eagle Even,4,,,,,,,,,,
11,PHI,4,3:41,Up 11,1,10,48,Run,2 QB,"""+3x1-"", closed R, singleback",,Boykin,,,,-5,,,,,IR,,Over,,,,,,,,,,,
11,PHI,4,3:37,Up 11,2,15,-47,Run,2 QB,"""+3x1-"", closed R, shotgun offset R",,R. Wilson,,,,4,,,,,OR,,Over,,,,,,,,,,,
12,at TB,1,1:43,Down 14,1,10,-36,Pass,12,"""+3x1-"", closed R, shotgun offset R",TE in,,,"L. Wilson (R LOS TE, 1)",Catch,11,,,RM,S,,,Over,5,,,,,,,,,,
12,at TB,2,13:13,Down 12,2,10,-28,Run,11,"""+3x1-"", closed R, shotgun offset R",WR in,R. Wilson,,,,17,,,,,OR,,Over,,,,,,,,,,,
12,at TB,2,6:30,Down 9,1,10,-14,Run,11,"""-1x3*"", closed L, bunch R-",,Rawls,,,,5,,,,,M,,Over,,,,,,,,,,,
12,at TB,2,5:59,Down 9,2,5,-19,Run,11,"""+1x3+"", shotgun offset L",,Rawls,,,,1,,,,,M,,Under,,,,,,,,,,,
12,at TB,3,15:00,Down 9,1,10,-25,Pass,12,"""+3x1-"", closed R, singleback",TE in,,,Kearse (L1),Catch,,"Chop block, Hunt, -11",,WR Screen L,S,,,Over,4,,,,,,,,,,
12,at TB,3,10:46,Down 9,1,10,-15,Run,11,"""+3x1+"", shotgun offset R",,R. Wilson,,,,13,,,,,OR,,Under,,,,,,,,,,,
12,at TB,3,10:01,Down 9,2,10,-29,Pass,11,"""+3x1-"", shotgun offset R",,,,Baldwin (L3),Catch,1,,Hard,RM,S,,,2 Eagle Odd,4,,,,,,,,,,
12,at TB,3,9:17,Down 9,3,9,-30,Pass,11,"""+3x1-"", shotgun offset R",,,,Lockett (L2),Inc.,0,,,LS,ID,,,Over,5,,,,,,,,,,
12,at TB,3,5:03,Down 9,1,10,-9,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"Graham (R LOS TE, 1)",Catch,17,,Hard,RM,S,,,Over,4,,,,,,,,,,
12,at TB,3,4:29,Down 9,1,10,-26,Run,12,"""-1x3+"", closed L, shotgun offset L",,Rawls,,,,1,,,,,M,,Under,,,,,,,,,,,
12,at TB,4,14:03,Down 9,1,10,-7,Run,11,"""+3x1-"", shotgun offset R",,R. Wilson,,,,7,,,,,SCR,,Under,4,,,,,,,,,,
12,at TB,4,11:58,Down 9,3,10,-32,Pass,11,"""+3x1-"", shotgun offset R",,,,Lockett (L2),Inc.,0,,,LM,ID,,,Over,4,,,,,,,,,,
12,at TB,4,10:14,Down 9,1,10,-41,Pass,12,"""-1x3+"", closed L, shotgun offset L",,,,Baldwin (R2),Catch,4,,,WR Screen R,S,,,Under,4,,,,,,,,,,
12,at TB,4,9:41,Down 9,2,6,-45,Run,11,"""+3x1-"", shotgun offset L",,R. Wilson,,,,13,,,,,SCR,,Under,4,,,,,,,,,,
12,at TB,4,9:12,Down 9,1,10,42,Pass,11,"""+3x1+"", shotgun offset R",,,,Baldwin (L3),Catch,-1,,,WR Screen L,S,,,2 Eagle Even,4,,,,,,,,,,
12,at TB,4,8:35,Down 9,2,11,43,Pass,11,"""-1x3+"", shotgun offset L",,,,Graham (L1),Catch,13,,,LM,S,,,2 Eagle Even,4,,,,,,,,,,
12,at TB,4,8:02,Down 9,2,10,30,Run,11,"""+3x1-"", closed R, shotgun offset R",WR in,Rawls,,,,3,,,,,M,,2 Eagle Even,,,,,,,,,,,
12,at TB,4,7:19,Down 9,3,7,27,Pass,11,"""+3x1-"", shotgun offset R",,,,Graham (R1),"Catch, Fumble, L. David",5,,,LM,S,,,2 Eagle Even,4,,,,,,,,,,
13,CAR,1,14:46,Tied,1,G-8,8,Run,12,"""-1x3+"", closed L, shotgun offset L",,Rawls,,,,2,,,,,M,,2 Eagle Odd,,,,,,,,,,,
13,CAR,1,10:37,Up 3,1,10,-8,Pass,12,"""-1x3+"", shotgun offset L",TE in,,,Kearse (L1),Catch,6,,,RS,S,,,Over,5,,,,,,,,,,
13,CAR,1,9:32,Up 3,1,10,46,Run,12,"""-1x3+"", closed L, shotgun offset L",TE in,Rawls,,,,2,,,,,M,,Under,,,,,,,,,,,
13,CAR,1,2:47,Up 10,1,10,-21,Pass,11,"""+3x1-"", shotgun offset L",RB bk,,,Kearse (L1),Catch,7,,"Hard, roll",LS,S,,,Other Odd,5,,,,,,,,,,
13,CAR,2,12:33,Up 10,2,16,-44,Pass,11,"""-1x3+"", shotgun offset L",,,,Baldwin (R3),Catch,-2,,,WR Screen R,S,,,Under,4,,,,,,,,,,
13,CAR,2,7:28,Up 10,1,10,-25,Run,11,"""+3x1+"", shotgun offset L",,Rawls,,,,13,,,,,M,,Under,,,,,,,,,,,
13,CAR,2,3:52,Up 10,2,9,28,Run,11,"""+3x1+"", shotgun offset L",,Pope,,,,2,,,,,M,,Under,,,,,,,,,,,
13,CAR,2,2:00,Up 10,2,12,19,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Graham (L LOS TE, 1)",Inc.,0,,,LS,D,,,Over,4,,,,,,,,,,
13,CAR,2,0:21,Up 13,2,10,13,Pass,11,"""-1x3+"", shotgun offset L",,,,Throwaway,Inc.,0,,,,,,,Under,4,,,,,,,,,,
13,CAR,2,0:16,Up 13,3,10,13,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Graham (L LOS TE, 1)",Inc.,0,,,LS,D,,,Over,4,,,,,,,,,,
13,CAR,3,7:37,Up 23,2,11,-24,Pass,11,"""+3x1+"", shotgun offset L",,,,Baldwin (L3),Catch,5,,Hard,WR Screen L,S,,,Over,4,,,,,,,,,,
13,CAR,4,12:00,Up 23,3,8,13,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"Graham (R LOS TE, 1)",Catch,12,,,RM,S,,,Over,4,,,,,,,,,,
