Week,Opponent,Quarter,Time,Score_Margin,Down,Distance,POS,Play_Type,Personnel,Formation,Motion,Runner,Lead_Block,Target,Catch,Gain,Penalty,Play_Action,Pass_Area,Pass_Depth,Run_Area,Def_Package,Def_Front,Pass_Rushers,Goal_Line,LOS_to_Goal,Net_Gain,Minute,Second,Num_RB,Num_TE,Num_WR,6_OL,Left_Split,Right_Split,Shotgun,Shotgun_Offset,I-Form,I-Form_Offset,Motion_Bool,Motion_Pos,Motion_Dir,Target_Pos,Target_Align,Pass_Dir,TD,Explosive_Pass,Explosive_Pass_Yd,Explosive_Run,Explosive_Run_Yd,Explosive_Play,Successful_Pass,Successful_Run,Successful_Play,Sack_TFL,Sack_TFL_Yards,Penalty_Team,Penalty_Type,Penalty_Yards,Home/Road
1,IND,4,13:33,7,2,9.0,-26,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,"Wick (R LOS TE, 1)",Catch,5.0,,,RS,S,,,Over,4,0,74,5.0,13,33,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,0.0,,,TE,1,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Road
1,IND,4,12:54,7,3,4.0,-31,Pass,11,"""-3x1"", shotgun offset R",,N/A,,M. Jones (R1),Inc.,0.0,,,M,S,,,Over,4,0,69,0.0,12,54,1.0,1.0,3.0,0.0,Narrow,"""",1.0,Right,0.0,,0.0,,,WR,1,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Road
1,IND,4,7:46,0,2,8.0,-27,Pass,11,"""+2x2+"", shotgun offset L",,N/A,,Tate (R1),Catch,10.0,,,RS,S,,,Other Odd,4,0,73,10.0,7,46,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Left,0.0,,0.0,,,TE,1,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Road
1,IND,4,7:20,0,1,10.0,-37,Pass,11,"""+2x2"", shotgun offset L",,N/A,,"Abdullah (L RB, 3)",Catch,14.0,,,Swing L,S,,,Under,4,0,63,14.0,7,20,1.0,1.0,3.0,0.0,Wide,"""",1.0,Left,0.0,,0.0,,,RB,3,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Road
1,IND,4,5:05,0,2,3.0,30,Pass,21,"""+2x1"", shotgun 2 RB",,N/A,,M. Jones (L1),Inc.,,"Off. Holding, Swanson, -10",,LM,D,,,Other Odd,5,0,30,,5,05,2.0,1.0,2.0,0.0,Wide,"""",1.0,,0.0,,0.0,,,WR,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,Defense,Off. Holding,10.0,Road
1,IND,4,5:00,0,2,13.0,40,Pass,11,"""-2x2"", shotgun offset L",,N/A,,Boldin (L1),Catch,14.0,,Hard,WR Screen L,S,,,Double A Gap,4,0,40,14.0,5,00,1.0,1.0,3.0,0.0,Narrow,"""",1.0,Left,0.0,,0.0,,,WR,1,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Road
1,IND,4,4:17,0,1,10.0,26,Pass,11,"""2x3+"", shotgun",,N/A,,"Ebron (R LOS TE, 3)",Catch,13.0,,,RS,S,,,Over,4,0,26,13.0,4,17,1.0,1.0,3.0,0.0,2,"""",1.0,,0.0,,0.0,,,TE,3,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Road
1,IND,4,4:11,0,1,10.0,13,Pass,11,"""+2x2+"", shotgun offset L",,N/A,,"Riddick (L RB, 3)","Catch, TD",13.0,,,RB Screen R,S,,,Under,4,0,13,13.0,4,11,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Left,0.0,,0.0,,,RB,3,Left,1.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Road
1,IND,4,0:37,-1,1,10.0,-25,Pass,11,"""+2x2+"", shotgun offset L",,N/A,,"Riddick (L RB, 3)",Catch,19.0,,,M,S,,,Over,4,0,75,19.0,0,37,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Left,0.0,,0.0,,,RB,3,Left,0.0,1.0,19.0,0.0,,1.0,1.0,,1.0,0.0,,,,0.0,Road
1,IND,4,0:28,-1,1,10.0,-44,Pass,11,"""2x2+"", shotgun offset R",,N/A,,Ebron (L2),Catch,9.0,,,LS,S,,,Double A Gap,5,0,56,9.0,0,28,1.0,1.0,3.0,0.0,2,"""",1.0,Right,0.0,,0.0,,,WR,2,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Road
1,IND,4,0:21,-1,2,1.0,47,Pass,11,"""1x3+"", shotgun offset L",,N/A,,M. Jones (L1),Catch,22.0,,,LS,IS,,,Over,4,0,47,22.0,0,21,1.0,1.0,3.0,0.0,1,"""",1.0,Left,0.0,,0.0,,,WR,1,Left,0.0,1.0,22.0,0.0,,1.0,1.0,,1.0,0.0,,,,0.0,Road
1,IND,4,0:12,-1,1,10.0,25,Pass,11,"""-3x1-"", shotgun offset R",,N/A,,Throwaway,Inc.,0.0,,,,,,,Other Odd,5,0,25,0.0,0,12,1.0,1.0,3.0,0.0,Narrow,Narrow,1.0,Right,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Road
2,TEN,1,7:37,0,2,9.0,-42,Pass,11,"""+2x2*"", shotgun offset L",,N/A,,Boldin (L2),Inc.,0.0,,,M,S,,,Double A Gap,4,0,58,0.0,7,37,1.0,1.0,3.0,0.0,Wide,Normal,1.0,Left,0.0,,0.0,,,WR,2,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,1,7:34,0,3,9.0,-42,Pass,11,"""+3x1-"", shotgun offset R","RB bk, TE in",N/A,,Tate (L3),Inc.,0.0,,,RM,ID,,,2 Eagle Even,4,0,58,0.0,7,34,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,1.0,RB,in,TE,3,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,1,6:43,2,1,10.0,-31,Pass,11,"""+2x2+"", shotgun offset R",,N/A,,M. Jones (L1),Catch,30.0,,,LS,D,,,Other Odd,5,0,69,30.0,6,43,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Right,0.0,,0.0,,,WR,1,Left,0.0,1.0,30.0,0.0,,1.0,1.0,,1.0,0.0,,,,0.0,Home
2,TEN,1,6:26,2,1,10.0,39,Pass,11,"""+2x2+"", singleback",,N/A,,Boldin (R2),Catch,12.0,,,WR Screen R,S,,,Under,4,0,39,12.0,6,26,1.0,1.0,3.0,0.0,Wide,Wide,0.0,,0.0,,0.0,,,WR,2,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Home
2,TEN,1,5:47,2,2,7.0,24,Pass,11,"""-3x1*"", shotgun offset R",,N/A,,"Ebron (L LOS TE, 3)",Catch,6.0,,,LS,S,,,Over,4,0,24,6.0,5,47,1.0,1.0,3.0,0.0,Narrow,Normal,1.0,Right,0.0,,0.0,,,TE,3,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Home
2,TEN,1,4:28,2,1,20.0,24,Pass,11,"""+2x2*"", shotgun offset L",,N/A,,Ebron (R2),Inc.,0.0,,,RM,ID,,,Other Odd,5,0,24,0.0,4,28,1.0,1.0,3.0,0.0,Wide,Normal,1.0,Left,0.0,,0.0,,,WR,2,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,1,4:23,2,2,20.0,24,Pass,11,"""+3x2*"", shotgun",,N/A,,Boldin (L2),"Catch, TD",24.0,,,LM,D,,,Other Even,3,0,24,24.0,4,23,1.0,1.0,3.0,0.0,Wide,Normal,1.0,,0.0,,0.0,,,WR,2,Left,1.0,1.0,24.0,0.0,,1.0,1.0,,1.0,0.0,,,,0.0,Home
2,TEN,2,11:19,6,2,3.0,-34,Pass,12,"""-2x2+"", closed L, dual TE LOS, shotgun offset R",,N/A,,M. Jones (R1),Inc.,0.0,,Soft,RM,S,,,Under,4,0,66,0.0,11,19,1.0,2.0,2.0,0.0,Narrow,Wide,1.0,Right,0.0,,0.0,,,WR,1,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,2,11:15,6,3,3.0,-34,Pass,11,"""-2x2+"", shotgun offset R",WR in,N/A,,Boldin (R2),Catch,6.0,,,RS,S,,,Under,3,0,66,6.0,11,15,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Right,0.0,,1.0,WR,in,WR,2,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Home
2,TEN,2,10:26,6,1,20.0,-30,Pass,11,"""+3x2+"", shotgun",,N/A,,Tate (L1),Inc.,0.0,,,LS,D,,,2 Eagle Even,4,0,70,0.0,10,26,1.0,1.0,3.0,0.0,Wide,Wide,1.0,,0.0,,0.0,,,TE,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,2,10:20,6,2,20.0,-30,Pass,11,"""+3x1*"", shotgun offset R",,N/A,,"Riddick (R RB, 2)",Catch,12.0,,,RB Screen R,S,,,2 Eagle Even,4,0,70,12.0,10,20,1.0,1.0,3.0,0.0,Wide,Normal,1.0,Right,0.0,,0.0,,,RB,2,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Home
2,TEN,2,8:38,6,2,11.0,47,Pass,11,"""-2x2+"", shotgun offset R",,N/A,,M. Jones (R1),Catch,9.0,,,RM,S,,,2 Eagle Even,4,0,47,9.0,8,38,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Right,0.0,,0.0,,,WR,1,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Home
2,TEN,2,4:19,6,2,9.0,-2,Pass,12,"""-2x2+"", closed L, dual TE LOS, shotgun offset R",,N/A,,M. Jones (R1),Catch,4.0,,Soft,RM,S,,,Over,4,0,98,4.0,4,19,1.0,2.0,2.0,0.0,Narrow,Wide,1.0,Right,0.0,,0.0,,,WR,1,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,2,3:38,6,3,5.0,-6,Pass,11,"""+2x2+"", shotgun offset L",,N/A,,M. Jones (R1),Catch,9.0,,,RS,S,,,2 Eagle Even,4,0,94,9.0,3,38,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Left,0.0,,0.0,,,WR,1,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Home
2,TEN,2,2:16,6,1,10.0,-44,Pass,11,"""*2x2*"", shotgun offset L",WR in,N/A,,Boldin (L1),Inc.,0.0,,Soft,WR Screen L,S,,,Over,4,0,56,0.0,2,16,1.0,1.0,3.0,0.0,Normal,Normal,1.0,Left,0.0,,1.0,WR,in,WR,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,2,2:00,6,3,9.0,-45,Pass,11,"""+3x1*"", shotgun offset R",RB bk,N/A,,M. Jones (R1),Catch,47.0,,,RS,S,,,Other Odd,6,0,55,47.0,2,00,1.0,1.0,3.0,0.0,Wide,Normal,1.0,Right,0.0,,1.0,RB,bk,WR,1,Right,0.0,1.0,47.0,0.0,,1.0,1.0,,1.0,0.0,,,,0.0,Home
2,TEN,2,1:30,6,1,21.0,21,Pass,11,"""+3x1-"", closed R, shotgun offset L",,N/A,,Tate (L3),Catch,,"Off. Holding, Boldin, -10",Hard,WR Screen L,S,,,2 Eagle Even,4,0,21,,1,30,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Left,0.0,,0.0,,,TE,3,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,Defense,Off. Holding,10.0,Home
2,TEN,2,1:23,6,1,26.0,26,Pass,11,"""+2x2+"", shotgun offset L",,N/A,,M. Jones (R1),Inc.,0.0,,,RS,D,,,2 Eagle Even,4,0,26,0.0,1,23,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Left,0.0,,0.0,,,WR,1,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,2,1:19,6,2,26.0,26,Pass,11,"""+3x1*"", shotgun offset L",,N/A,,Throwaway,Inc.,0.0,,,,,,,Under,5,0,26,0.0,1,19,1.0,1.0,3.0,0.0,Wide,Normal,1.0,Left,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
